id,title,desc,link,icon,order,createdAt,updatedAt
tool-history-today,真如苑史上的今天,依日期查閱真如苑史上的重要事件。,https://angewoo.github.io/-search/,史,1,,
tool-quote,真如拔苦代受靈訓,隨機閱讀拔苦代受相關靈訓。,https://angewoo.github.io/quote/,訓,2,,
tool-17,法母17訓,快速研讀法母十七訓。,https://supr.link/xrUjU,17,3,,
tool-song-calendar,苑歌月曆,以月曆方式瀏覽苑歌內容。,https://supr.link/zx2lz,歌,4,,
tool-history,真如苑史,查閱真如苑歷史資料。,https://supr.link/X2LmQ,苑,5,,
