id,title,date,body,link,pinned,order,createdAt,updatedAt
an-1,親苑時報 2026年6月號已更新,2026-06-01,最新一期親苑時報已上線，歡迎點閱。,https://twgo.io/bqkop,TRUE,1,,
an-2,2026年8月 台灣行事曆已上線,2026-08-01,最新台灣行事曆已公布，請查閱本月活動安排。,https://meee.ing/a6546d,,2,,
an-3,Podcast「等一個人的真如café」已更新至 EP01,,邀請分享修行因緣，歡迎收聽。,https://www.youtube.com/watch?v=QzJmT6P0bac,,3,,
an-4,瑞聲法語已更新至第48號,,瑞聲法語全集持續整理上架。,https://srt.tw/k9pLsY,,4,,
